致姗姗来迟的你 ,http://music.163.com/song/media/outer/url?id=432506809.mp3
遇到,http://music.163.com/song/media/outer/url?id=4875075.mp3
美好事物,http://music.163.com/song/media/outer/url?id=417596830.mp3
小幸运,http://music.163.com/song/media/outer/url?id=33206214.mp3
遇见,http://music.163.com/song/media/outer/url?id=287035.mp3
在夏天,http://music.163.com/song/media/outer/url?id=208962.mp3
第一次遇见你的时候,http://music.163.com/song/media/outer/url?id=37764299.mp3
我在二月的春风里遇见了你,http://music.163.com/song/media/outer/url?id=413074278.mp3
遇见你的时候所有星星都落到我头上,http://music.163.com/song/media/outer/url?id=30089063.mp3
我喜欢上你时的内心活动,http://music.163.com/song/media/outer/url?id=471403427.mp3
我的世界因你而改变,http://music.163.com/song/media/outer/url?id=29738941.mp3
为了遇见你,http://music.163.com/song/media/outer/url?id=26349280.mp3
用尽我的一切奔向你,http://music.163.com/song/media/outer/url?id=489770143.mp3
我爱的人,http://music.163.com/song/media/outer/url?id=350651.mp3
和你在一起,http://music.163.com/song/media/outer/url?id=26523120.mp3
多远都要在一起,http://music.163.com/song/media/outer/url?id=30612793.mp3
陪你度过漫长岁月,http://music.163.com/song/media/outer/url?id=35403523.mp3
认真地老去,http://music.163.com/song/media/outer/url?id=461080452.mp3
一如年少模样,http://music.163.com/song/media/outer/url?id=463157222.mp3
你给我听好,http://music.163.com/song/media/outer/url?id=28481103.mp3
关于我爱你,http://music.163.com/song/media/outer/url?id=326705.mp3
爱你就像爱生命,http://music.163.com/song/media/outer/url?id=427016671.mp3
你是我的眼,http://music.163.com/song/media/outer/url?id=350616.mp3
只对你有感觉,http://music.163.com/song/media/outer/url?id=354620.mp3
雀跃,http://music.163.com/song/media/outer/url?id=489302317.mp3
绝对占有 相对自由,http://music.163.com/song/media/outer/url?id=30431377.mp3
爱你,http://music.163.com/song/media/outer/url?id=22852057.mp3
天天想你,http://music.163.com/song/media/outer/url?id=26348068.mp3
思念是一种病,http://music.163.com/song/media/outer/url?id=185700.mp3
你是我最愚蠢的一次浪漫,http://music.163.com/song/media/outer/url?id=502103677.mp3
还想听你的故事,http://music.163.com/song/media/outer/url?id=413829873.mp3
全世界谁倾听你 ,http://music.163.com/song/media/outer/url?id=432509483.mp3
喜欢,http://music.163.com/song/media/outer/url?id=326719.mp3
喜欢你,http://music.163.com/song/media/outer/url?id=346073.mp3
南国的孩子,http://music.163.com/song/media/outer/url?id=326708.mp3
世界上的另一个我,http://music.163.com/song/media/outer/url?id=514765154.mp3
我一定会爱上你,http://music.163.com/song/media/outer/url?id=479219330.mp3
我在海边等你,http://music.163.com/song/media/outer/url?id=423776475.mp3
当我在这里,http://music.163.com/song/media/outer/url?id=442315773.mp3
如果你爱我,http://music.163.com/song/media/outer/url?id=208942.mp3
我也可以是流浪诗人,http://music.163.com/song/media/outer/url?id=33166563.mp3
我梦见你梦见我,http://music.163.com/song/media/outer/url?id=417250911.mp3
背对背拥抱,http://music.163.com/song/media/outer/url?id=108418.mp3
远辰落身旁,http://music.163.com/song/media/outer/url?id=480769050.mp3
我怀念的,http://music.163.com/song/media/outer/url?id=287063.mp3
春夏秋冬,http://music.163.com/song/media/outer/url?id=186453.mp3
荏苒冬春去,http://music.163.com/song/media/outer/url?id=415793652.mp3
只道寻常,http://music.163.com/song/media/outer/url?id=450048216.mp3
我要回到风里了,http://music.163.com/song/media/outer/url?id=467117858.mp3
等我们老了，就定居在重庆,http://music.163.com/song/media/outer/url?id=529319768.mp3
